user-email,subject-code,software-list,DateTime
user51@unimelb.edu.com,SUBJ6314,"Alice 3, NetLogo, texlive-base , Spike Recorder",2023-02-26 10:59:54
user52@unimelb.edu.com,SUBJ6591,"Corona Renderer for 3ds Max, Mercury, Sibelius, DaVinci Resolve",2023-07-19 10:59:54
user53@unimelb.edu.com,SUBJ9918,"libreoffice-gnome, SolidWorks, SimLED",2023-05-18 10:59:54
user54@unimelb.edu.com,SUBJ5809,"astroconda2, rstudio, LogiPresentation, MySQL Workbench, RODE SoundField",2023-03-17 10:59:54
user55@unimelb.edu.com,SUBJ8334,"HandBrake, SOLIDWORKS Electrical 2015 SP5, Biopac BSL, swipl-win.exe, iraf-sptable",2023-02-26 10:59:54
user56@unimelb.edu.com,SUBJ9797,"Slack, GarageBand",2023-09-19 10:59:54
user57@unimelb.edu.com,SUBJ1180,"Mobirise, SAS 9.4 for Windows",2023-09-13 10:59:54
user58@unimelb.edu.com,SUBJ7727,"Cinema 4D, NI ELVISmx, Stellarium",2023-02-20 10:59:54
user59@unimelb.edu.com,SUBJ7750,"VPIplayer, ArcGlobe",2023-01-25 10:59:54
user60@unimelb.edu.com,SUBJ7837,Atmel Studio 6.2,2022-10-14 10:59:54
user61@unimelb.edu.com,SUBJ8222,"XMind.exe, iMovie, Adobe Dreamweaver, CostX.exe",2023-05-22 10:59:54
user62@unimelb.edu.com,SUBJ6248,"Praat, Blender, Activity Monitor, Materialise Mimics inPrint 3.0, Allegorithmic Substance Painter",2022-11-11 10:59:54
user63@unimelb.edu.com,SUBJ1967,"Steam, Stata SE, Shows SAP GUI SapSettings Dialog, Dassault Systemes CloudView 3DEXPERIENCE R2020x",2023-07-06 10:59:54
user64@unimelb.edu.com,SUBJ6117,Visual Studio,2023-02-11 10:59:54
user65@unimelb.edu.com,SUBJ9854,"ANSYS Discovery, Spike Recorder, Artemis, ImageJ",2022-12-24 10:59:54
user66@unimelb.edu.com,SUBJ6643,Notepad++,2023-03-07 10:59:54
user67@unimelb.edu.com,SUBJ9218,"Adobe Digital Editions, Dassault Systemes SIMULIA Isight 2020, Autodesk Inventor, Sibelius",2022-11-24 10:59:54
user68@unimelb.edu.com,SUBJ2779,"Allegorithmic Substance Painter, Inteleviewer, GAUSS 17 (64-bit), COMSOL Multiphysics, SPSS Statistics",2023-04-25 10:59:54
user69@unimelb.edu.com,SUBJ5488,Atom,2023-01-27 10:59:54
user70@unimelb.edu.com,SUBJ7543,Dassault Systemes CloudView 3DEXPERIENCE R2020x,2023-09-06 10:59:54
user71@unimelb.edu.com,SUBJ7716,Prism,2022-12-03 10:59:54
user72@unimelb.edu.com,SUBJ3050,rstudio,2023-07-17 10:59:54
user73@unimelb.edu.com,SUBJ8079,"Vimeo, BBEdit, GeoStudio 2007, PAUP*, QuickTime Player",2023-08-09 10:59:54
user74@unimelb.edu.com,SUBJ5387,Ableton Live Suite,2022-12-16 10:59:54
user75@unimelb.edu.com,SUBJ1737,"Blackmagic DaVinci Resolve, WoPeD, coDiagnostiX",2023-06-27 10:59:54
user76@unimelb.edu.com,SUBJ9395,"COMSOL Multiphysics, cernlib, Microsoft OneNote, Adobe Character Animator, Quartus II",2023-02-13 10:59:54
user77@unimelb.edu.com,SUBJ2494,Autodesk Revit,2022-12-24 10:59:54
user78@unimelb.edu.com,SUBJ3279,"ZBrush Executable, PAUP*, Prism",2022-11-29 10:59:54
user79@unimelb.edu.com,SUBJ1763,Logic Pro X,2022-12-11 10:59:54
user80@unimelb.edu.com,SUBJ9401,"TeXworks, 2Simple 2Do It Yourself, Vulkan Run Time Libraries, python3-photutils",2023-06-13 10:59:54
user81@unimelb.edu.com,SUBJ1987,"Atmel Studio 6.2, iTunes, Vim 8.2, ReCapPhoto.exe, Eclipse",2023-01-25 10:59:54
user82@unimelb.edu.com,SUBJ8488,"Allegorithmic Substance Painter, BiologicEditor",2023-01-21 10:59:54
user83@unimelb.edu.com,SUBJ5060,"RETScreen Expert, VI Package Manager Runtime Enginer",2023-02-16 10:59:54
user84@unimelb.edu.com,SUBJ8847,2Simple 2Create,2023-06-15 10:59:54
user85@unimelb.edu.com,SUBJ1734,"K-Lite Codec Pack, RealityCapture, ELAN",2023-06-17 10:59:54
user86@unimelb.edu.com,SUBJ3211,"swipl-win.exe, Minitab, 2Simple 2Do It Yourself, G*Power",2023-04-29 10:59:54
user87@unimelb.edu.com,SUBJ1408,FileZilla,2022-12-08 10:59:54
user88@unimelb.edu.com,SUBJ7628,"Visual Studio, Microchip Studio",2023-07-19 10:59:54
user89@unimelb.edu.com,SUBJ6322,Corona Renderer for 3ds Max,2022-12-14 10:59:54
user90@unimelb.edu.com,SUBJ7111,"ArcScene, UCSF Chimera, Dassault Systemes CloudView 3DEXPERIENCE R2020x, python3-ccdproc, Mobirise",2023-03-08 10:59:54
user91@unimelb.edu.com,SUBJ8677,QuickTime Player,2023-01-20 10:59:54
user92@unimelb.edu.com,SUBJ8784,"2Simple 2Publish+, ANSYS Electromagnetics Remote Simulation Manager, PASCO scientific Capstone application, CrossCore® Embedded Studio v2.9.4, Wireshark",2023-04-30 10:59:54
user93@unimelb.edu.com,SUBJ2138,"2Animate, PuTTY, EoGTest, HandBrake, Ortelia Curator",2023-09-15 10:59:54
user94@unimelb.edu.com,SUBJ4763,"NI SignalExpress, Weather Converter for EnergyPlus / ESP(r), IMOD",2022-10-14 10:59:54
user95@unimelb.edu.com,SUBJ3842,"NetLogo 3D 6.0.1, iMovie, ImageJ",2023-03-21 10:59:54
user96@unimelb.edu.com,SUBJ2685,ARGUS Developer,2023-09-14 10:59:54
user97@unimelb.edu.com,SUBJ5476,"Blender, Geogebra",2023-08-28 10:59:54
user98@unimelb.edu.com,SUBJ1770,"Windows Driver Package - mbed (mbedSerial_x64) Ports  (08/24/2009 2.0.2.0), 2Simple 2Create A Story, Compressor",2023-03-23 10:59:54
user99@unimelb.edu.com,SUBJ8370,Figtree,2022-10-29 10:59:54
